device_id,timestamp,temperature,humidity,hvac_status
device_001,2023-07-26 00:00:00,22.5,55.0,on
device_001,2023-07-26 01:00:00,22.6,54.5,on
device_001,2023-07-26 02:00:00,22.8,53.0,on
device_001,2023-07-26 03:00:00,22.7,52.7,on
device_001,2023-07-26 04:00:00,22.6,52.2,off
device_002,2023-07-26 00:00:00,23.0,52.0,off
device_002,2023-07-26 01:00:00,22.8,52.3,off
device_002,2023-07-26 02:00:00,22.7,52.7,off
device_002,2023-07-26 03:00:00,22.5,53.0,off
device_002,2023-07-26 04:00:00,22.4,53.2,on
device_003,2023-07-26 00:00:00,22.2,55.2,on
device_003,2023-07-26 01:00:00,22.1,55.6,on
device_003,2023-07-26 02:00:00,22.0,56.0,on
device_003,2023-07-26 03:00:00,22.1,56.2,on
device_003,2023-07-26 04:00:00,22.2,56.5,off
